Unique Junction ID,JCR ID,Latitude,Longitude,maid,male,female,high,medium,low,Peak/ Non-Peak,Weekday - Total Car,Weekday - Hatchback,Weekday - Sedan,Weekday -  SUV,City,Weekday - Sum,mean_maid,std_maid,mean_weekday_sum,std_weekday_sum
J7,JCR31,23.03801,72.587978,46.0,42.0,4.0,2.0,35.0,9.0,1.0,10919.0,4934.0,3464.0,2518.0,Ahmedabad,165002.0,626.8,183.66508650257944,58615.0,33642.52334323334
J7,JCR32,23.037271,72.587858,1588.0,1151.0,437.0,64.0,1316.0,208.0,0.0,2295.0,900.0,810.0,585.0,Ahmedabad,36675.0,626.8,303.95812869538463,58615.0,6938.037186409424
J7,JCR32,23.037271,72.587858,1588.0,1151.0,437.0,64.0,1316.0,208.0,1.0,2153.0,1050.0,630.0,473.0,Ahmedabad,37591.0,626.8,303.95812869538463,58615.0,6648.372552738001
J7,JCR33,23.037806,72.589,68.0,57.0,11.0,5.0,36.0,27.0,0.0,1890.0,810.0,585.0,495.0,Ahmedabad,34515.0,626.8,176.70807565020903,58615.0,7621.089161005794
J7,JCR33,23.037806,72.589,68.0,57.0,11.0,5.0,36.0,27.0,1.0,2730.0,1208.0,945.0,578.0,Ahmedabad,40421.0,626.8,176.70807565020903,58615.0,5753.447974910349
J7,JCR34,23.038708,72.588121,65.0,52.0,13.0,1.0,52.0,12.0,0.0,1485.0,585.0,495.0,405.0,Ahmedabad,30465.0,626.8,177.65675894825952,58615.0,8901.811613373988
J7,JCR34,23.038708,72.588121,65.0,52.0,13.0,1.0,52.0,12.0,1.0,3203.0,1418.0,998.0,788.0,Ahmedabad,45467.0,626.8,177.65675894825952,58615.0,4157.762667589385
J7,JCR35,23.038226,72.58686,1367.0,1074.0,293.0,28.0,1111.0,228.0,0.0,1260.0,495.0,405.0,360.0,Ahmedabad,26415.0,626.8,234.07179240566344,58615.0,10182.534065742182
J7,JCR35,23.038226,72.58686,1367.0,1074.0,293.0,28.0,1111.0,228.0,1.0,2835.0,1260.0,893.0,683.0,Ahmedabad,41529.0,626.8,234.07179240566344,58615.0,5403.067610163693
J8,JCR36,23.040272,72.569348,30.0,24.0,6.0,2.0,18.0,10.0,0.0,7965.0,3240.0,2655.0,2070.0,Ahmedabad,136980.0,2881.8,901.8183431268185,63683.0,23178.54656573617
J8,JCR36,23.040272,72.569348,30.0,24.0,6.0,2.0,18.0,10.0,1.0,12390.0,5616.0,3832.0,2938.0,Ahmedabad,181433.0,2881.8,901.8183431268185,63683.0,37235.81944848267
J8,JCR37,23.039815,72.569299,8842.0,6317.0,2525.0,2855.0,3558.0,2429.0,0.0,2655.0,1080.0,900.0,675.0,Ahmedabad,40365.0,2881.8,1884.7807310135574,63683.0,7373.799047980627
J8,JCR37,23.039815,72.569299,8842.0,6317.0,2525.0,2855.0,3558.0,2429.0,1.0,2520.0,1208.0,735.0,578.0,Ahmedabad,39582.0,2881.8,1884.7807310135574,63683.0,7621.405388771811
J8,JCR38,23.040817,72.569385,1765.0,1632.0,133.0,31.0,1282.0,452.0,0.0,2115.0,900.0,675.0,540.0,Ahmedabad,35730.0,2881.8,353.1631690876047,63683.0,8839.514743468671
J8,JCR38,23.040817,72.569385,1765.0,1632.0,133.0,31.0,1282.0,452.0,1.0,3045.0,1418.0,945.0,683.0,Ahmedabad,43839.0,2881.8,353.1631690876047,63683.0,6275.223788838132
J8,JCR39,23.040259,72.57015200000001,1183.0,986.0,197.0,157.0,585.0,441.0,0.0,1755.0,720.0,585.0,450.0,Ahmedabad,32220.0,2881.8,537.2077289094043,63683.0,9949.474202187772
J8,JCR39,23.040259,72.57015200000001,1183.0,986.0,197.0,157.0,585.0,441.0,1.0,3675.0,1628.0,1155.0,893.0,Ahmedabad,51552.0,2881.8,537.2077289094043,63683.0,3836.159029550261
